,Latitude,Longitude,Name,Place_id,Type
0,43.296482,5.36978,Marseille,ChIJM1PaREO_yRIRIAKX_aUZCAQ,"[u'locality', u'political']"
0,43.3620109,5.4673382,Mg Distribution,ChIJ94XWoPqVyRIRg3eEqSSHpuM,"[u'point_of_interest', u'establishment']"
0,43.3612488,5.4644684,Ambulances Tessa,ChIJzbnCrfGVyRIRKiRNOBzANwU,"[u'health', u'point_of_interest', u'establishment']"
0,43.3600006,5.4685225,Ecole Robert Debré,ChIJRwWiZ_qVyRIRVE3_nHKRFSU,"[u'school', u'point_of_interest', u'establishment']"
0,43.3587734,5.4605736,coiffure a domicile marseille,ChIJLyHzi_OVyRIRMwS5Oa37RVM,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.364838,5.464996,Citea Residentiel Marseille Plan de Cuques,ChIJe7wBsu-VyRIRmnly50eKEEw,"[u'point_of_interest', u'establishment']"
0,43.3638025,5.4669311,Intercom 13,ChIJxxK_9u-VyRIRehmSP7-bDSM,"[u'point_of_interest', u'establishment']"
0,43.3624093,5.4668761,Mauro Nicolas,ChIJP52TBfCVyRIRHRfVns1eEAY,"[u'point_of_interest', u'establishment']"
0,43.3621812,5.4672844,MJ Diffusion,ChIJld3UCfCVyRIR91cXKFcuXug,"[u'point_of_interest', u'establishment']"
0,43.3618403,5.4636391,Julien Jean-Claude,ChIJYVpAv_GVyRIRRj_iUmlFeQc,"[u'health', u'point_of_interest', u'establishment']"
0,43.3620109,5.4673382,Moraldo Goerge,ChIJYYXWoPqVyRIRKkf-oeXOeKk,"[u'point_of_interest', u'establishment']"
0,43.3620109,5.4673382,Gregori Dominique,ChIJ94XWoPqVyRIRVIAReKn2jAk,"[u'store', u'point_of_interest', u'establishment']"
0,43.3616807,5.4632098,Ciarlone Regis Robert Jonathan,ChIJi4zMlfGVyRIR9MEkRJ9aOHw,"[u'point_of_interest', u'establishment']"
0,43.3618895,5.4686567,Contact Pilotage,ChIJH-AkuvqVyRIRiXut6Pco5X8,"[u'point_of_interest', u'establishment']"
0,43.3616378,5.4679977,Jean Ida,ChIJzdhZkPqVyRIRhPAxuncfhr0,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.3610215,5.466873,Frelaut Mosse Sylvie,ChIJGbwaePCVyRIRn1FtP83nquA,"[u'point_of_interest', u'establishment']"
0,43.3609081,5.4617258,Sciara Marie,ChIJcRYs3fOVyRIRakUKa2wPnvQ,"[u'point_of_interest', u'establishment']"
0,43.3609081,5.4617258,A2S,ChIJKVedLPKVyRIRsQbHvfULaH0,"[u'store', u'point_of_interest', u'establishment']"
0,43.3601257,5.4645638,Montade,ChIJQ6vDAvGVyRIRrTNORPxrCb8,"[u'bus_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.336148,5.4825739,Allauch,ChIJEYyEEyiWyRIRcAWX_aUZCAQ,"[u'locality', u'political']"
0,43.3600076,5.4649148,École Maternelle,ChIJLYw34_CVyRIRHfnLpVm_KZc,"[u'bus_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.3596231,5.4669119,M.J.F Services,ChIJmcDum_CVyRIRtboA09CdS-4,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.359965,5.468825,13380,ChIJizjuXPqVyRIRlWgSWBSBRtQ,"[u'point_of_interest', u'establishment']"
0,43.359814,5.468403,13380,ChIJIYmNaPqVyRIR7wQu-GAC-dA,"[u'point_of_interest', u'establishment']"
0,43.3600038,5.4693065,Azzaro Jean Marie,ChIJF0yPUPqVyRIRPeub5vB3tqQ,"[u'point_of_interest', u'establishment']"
0,43.3593082,5.4648107,Barraco Remi,ChIJGZZ-3_CVyRIREUdf53fVzgM,"[u'point_of_interest', u'establishment']"
0,43.3597227,5.4613724,Reboul Sandrine Cecile,ChIJnfFO3fOVyRIRRPiw2ah6S_M,"[u'point_of_interest', u'establishment']"
