,Latitude,Longitude,Name,Place_id,Type
0,43.4212739,5.218332,Marignane,ChIJz2Y1kSLmyRIRMAKX_aUZCAQ,"[u'locality', u'political']"
0,43.3938376,5.2304285,BDK Menuiseries La boutique du Menuisier,ChIJEc1riHroyRIR9PRHtp0V8Gk,"[u'point_of_interest', u'establishment']"
0,43.39389,5.23597,Société Générale,ChIJY9kqvHroyRIR5a8zu1jz9lw,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.3891344,5.2199892,RESTAURANT LE TONKIN,ChIJjZwcitvnyRIRZPG7wZyePHk,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.393377,5.235573,Mairie de Gignac-la-Nerthe,ChIJ-SwUBHHoyRIRIMhiijai5Lc,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3868186,5.2236074,au jardin fleuri,ChIJWT0ijDzmyRIRqpwajTJstr4,"[u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.3956249,5.2350642,Private School Saint Louis,ChIJy-_58QzpyRIR8msW9ZDai20,"[u'school', u'point_of_interest', u'establishment']"
0,43.396954,5.234083,Aqua Evasion,ChIJTTaambHdyRIRwYzSAu_TrMk,"[u'store', u'point_of_interest', u'establishment']"
0,43.387304,5.221939,Habitat,ChIJBa8smt7nyRIRzKp31uM1SMQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3889411,5.2280619,Middle School Le Petit Prince,ChIJN7IDzXfoyRIRRmigTK-3DWk,"[u'school', u'point_of_interest', u'establishment']"
0,43.387038,5.2261879,Eurl la Nerthe-immobilier,ChIJVWj9ZN_nyRIRtJq6lflxr5o,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3875791,5.2219095,Agence MONTAMER Gignac-la-Nerthe,ChIJXR5wmN7nyRIRo8YUBSsFXuc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3938848,5.2264433,A.F.G. AUTO garage gignac la nerthe,ChIJq4vK-tfnyRIRjvZUTE4QfLs,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.3879739,5.2293256,Post Office,ChIJWXgl6G3oyRIRL32KsABupFA,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.3881863,5.2313192,Bibliothèque,ChIJ-SwUBHHoyRIRdVDEeobxOQ4,"[u'library', u'point_of_interest', u'establishment']"
0,43.3938676,5.2358082,Immobiliere Le Cabanon,ChIJLwAFvXroyRIR7zuisOUrZic,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3918911,5.2349212,Crédit Agricole Alpes Provence,ChIJffGBCnDoyRIREcb2w9TCqNQ,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.3929191,5.2359244,Caisse d'Epargne Gignac la Nerthe,ChIJAfS7zCPoyRIRNDUOfqHtIBA,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.3923685,5.2351756,Glagly,ChIJwRWwb3DoyRIR4K0T1rawLO0,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.390916,5.233463,Gignac-la-Nerthe,ChIJZVkA63PoyRIR4AKX_aUZCAQ,"[u'locality', u'political']"
0,43.3933451,5.239183,Association Tennis Club Gignac,ChIJm97bVGXoyRIRbeusTiXpBsY,"[u'health', u'point_of_interest', u'establishment']"
0,43.3957,5.239,Sécuritest - Sarl auto controle 2000,ChIJc0dp4XDoyRIRVQ8E89fWAtY,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.391022,5.233258,Sud aspiration,ChIJc0dp4XDoyRIRxjKo2an4ilw,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3933224,5.2409862,Cabinet K2D Expertises,ChIJa1tthmXoyRIRlCBDWGMoEiU,"[u'finance', u'point_of_interest', u'establishment']"
0,43.3943042,5.2320473,Société Nouvelle Borel et Féraud,ChIJB1DFH3royRIRawrJwFsiyRQ,"[u'store', u'point_of_interest', u'establishment']"
0,43.3927866,5.2372719,Primary School Céléstin Arigon,ChIJOfBy_2_oyRIRXGFZbmQEBxQ,"[u'school', u'point_of_interest', u'establishment']"
0,43.3862105,5.2209221,Maternal Schools Michel Gouiran,ChIJ-SwUBHHoyRIR3u_BVqat-NA,"[u'school', u'point_of_interest', u'establishment']"
0,43.3907182,5.2216208,C2F elec,ChIJsykzY9nnyRIRdxKkb6m-mn0,"[u'point_of_interest', u'establishment']"
0,43.3953202,5.2140499,LES SERENADES,ChIJhzVsos_nyRIRZq7HnxVoDz0,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.3925178,5.2145628,Transports Debeaux,ChIJK_TjE8XnyRIRZQ1x7WNacy8,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.3907069,5.221597,Plumesoie,ChIJ0XkzY9nnyRIRD5c5wFnLjdM,"[u'food', u'point_of_interest', u'establishment']"
0,43.3892548,5.2192857,Création site et boutique Webmaster INP,ChIJU2Q1nNvnyRIRtBBc1qt2O3g,"[u'point_of_interest', u'establishment']"
0,43.3875915,5.2237205,City Zen Emilie,ChIJu_843t7nyRIR6n6yiQt0gqo,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.3864696,5.2179155,Les Artisans Pennois,ChIJKepvHt3nyRIR_n9t6sFmcX4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.39296,5.21521,Sci Centre Commercial Du Billard,ChIJbYY3QcXnyRIRKN44w226aIM,"[u'shopping_mall', u'point_of_interest', u'establishment']"
0,43.3873883,5.2224363,La Lauréenne,ChIJOUcjl97nyRIRE3puFRsufjg,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.392023,5.256157,Aire de Service de Rebuty,ChIJ49vEMkXoyRIRWVK6xLI-tHY,"[u'point_of_interest', u'establishment']"
0,43.3972124,5.2479673,Auto Casse Gignac,ChIJQWPJ5l3oyRIRyPNZjRv65rM,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.3955338,5.2476382,Accomplice,ChIJnS7ha2foyRIRE9GgTqzW__M,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.39602,5.247409,Automatic Distribution Drinks,ChIJy3BZiV3oyRIRkHgXq3eoNWI,"[u'point_of_interest', u'establishment']"
0,43.3949772,5.2484804,Taulier Gérard,ChIJ1b2wd13oyRIRJEFNLBrumBY,"[u'point_of_interest', u'establishment']"
0,43.3956525,5.2485911,Sarl Saris Elec,ChIJUwM7kV3oyRIR5bXi9E_Lihw,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.39602,5.247409,Abyxo,ChIJs0xhYGfoyRIRQUEGdQGY80k,"[u'point_of_interest', u'establishment']"
0,43.3964051,5.2416921,Deco Granit,ChIJ_fKtGGToyRIR_h8FILlawm8,"[u'point_of_interest', u'establishment']"
0,43.3968454,5.2471169,ERM Ferronnerie à Gignac-la-Nerthe,ChIJ10-UUGfoyRIRqUcUj900waI,"[u'point_of_interest', u'establishment']"
0,43.3964361,5.2419498,Navarro Piscines,ChIJBZ2jGGToyRIRY7tLt_GOncA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.39754,5.2459646,Alliance Construction,ChIJA2bpxWDoyRIR_ucDCvBBES8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3945175,5.2385593,Volant Vert,ChIJwTFJEGXoyRIRoNO5fuqE8mY,"[u'point_of_interest', u'establishment']"
0,43.3925124,5.1996231,A.b Bois,ChIJX3e8OH3pyRIRQXGa0JXnXJk,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.394609,5.208388,Vial Menuiseries Gignac,ChIJAY_2fcjnyRIRhb998kEcvYo,"[u'store', u'point_of_interest', u'establishment']"
0,43.394775,5.205288,DADDI SRI SAS,ChIJK_TjE8XnyRIRffFk_0TUuUw,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3953259,5.2073506,Bernard Philibert,ChIJo3C8OH3pyRIRXIBzcXE6OSY,"[u'hardware_store', u'store', u'point_of_interest', u'establishment']"
0,43.3925178,5.2145628,J.c.t,ChIJK_TjE8XnyRIRZmCUttUXmfE,"[u'point_of_interest', u'establishment']"
0,43.388873,5.211778,mon légumier a gignac,ChIJFT_w8MPnyRIRjb_NvTOV834,"[u'point_of_interest', u'establishment']"
0,43.391727,5.206809,Safety Company,ChIJCTIldMfnyRIRDEymujDJd9A,"[u'point_of_interest', u'establishment']"
0,43.391727,5.206809,Esmoker-Inc,ChIJCTIldMfnyRIRjvE1QUpUd7c,"[u'point_of_interest', u'establishment']"
0,43.391727,5.206809,EPUR Mediterranee,ChIJCTIldMfnyRIRk3YSCFkQZ44,"[u'point_of_interest', u'establishment']"
0,43.392492,5.214542,Sarl DM Construction,ChIJo3PkE8XnyRIRod5t7O75EDI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.395192,5.209746,Autovision Contrôle Technique,ChIJ8Uw7vsjnyRIRjuSgVxET210,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.3943287,5.2025835,Point P Provence,ChIJVZ8qhXHpyRIRQMqZruItpMw,"[u'point_of_interest', u'establishment']"
0,43.395611,5.209268,Le New Juke Box,ChIJH-lLhXHpyRIRLy-5vF0rSkw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.384138,5.2061651,Farm Equestre Faraon,ChIJ_54z1ZTnyRIR-zmS0WOz6Bo,"[u'point_of_interest', u'establishment']"
0,43.3976278,5.2539385,Centrale de la caravane,ChIJCZy-dVnoyRIRktA4EG4creg,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.398074,5.2543735,Atoll Form,ChIJNUmMcVnoyRIRll-pGCSg-A8,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.396325,5.254509,Pro Sud Isolation,ChIJuy3PxFvoyRIR8YgclnNmtjg,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4002386,5.2447145,La Goutte d'Eau,ChIJ4Qjdq2HoyRIRtSUyYPsWoyE,"[u'health', u'point_of_interest', u'establishment']"
0,43.399396,5.245124,CHAUSS'FIGHT - siège administratif,ChIJuwFM_GDoyRIRsAXfFj00mU8,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.3985887,5.2545842,Gignac Matériaux Sanchez,ChIJ1TIuEFnoyRIRgYPxrb0Dr7A,"[u'store', u'point_of_interest', u'establishment']"
0,43.397264,5.253301,PRO FUN 4X4,ChIJFX6Yb1noyRIRCWZgWESSWS0,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.3977416,5.2420052,Town Hall,ChIJiTbL_mPoyRIRHBiId25deig,"[u'school', u'point_of_interest', u'establishment']"
0,43.3813998,5.2005829,LE MUSIC HALL,ChIJsQF9yZXnyRIRGwdTnFYSARM,"[u'point_of_interest', u'establishment']"
0,43.3800722,5.201549,E-LIQUIDE-FR,ChIJwTNmCpTnyRIRrpri5Ln8dTw,"[u'store', u'point_of_interest', u'establishment']"
0,43.382547,5.201339,Les Salons de Laure,ChIJrSXNMpTnyRIRtIRK0GBws1g,"[u'point_of_interest', u'establishment']"
0,43.3803549,5.2028424,XPO Logistics ( Norbert Dentressangle),ChIJL0sldMfnyRIRTahFimyRwy0,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.3854058,5.216381,J2C Distribution Automatique,ChIJ7ysXSt3nyRIRrYNQVOUTdWQ,"[u'cafe', u'food', u'point_of_interest', u'establishment']"
0,43.3854092,5.2165125,J2C,ChIJKVcXSt3nyRIRzZ4u6ICt_4k,"[u'point_of_interest', u'establishment']"
0,43.380021,5.20164,SAFECO FORMATION,ChIJWTq49ZPnyRIRfyig2Q7CrHk,"[u'point_of_interest', u'establishment']"
0,43.37918,5.2190842,Imprimerie CLIP,ChIJvZvKK-TnyRIR4BDr0xV62co,"[u'store', u'point_of_interest', u'establishment']"
0,43.37884,5.218997,SC Transports,ChIJbcYJLeTnyRIRPGtAd1vkaCk,"[u'point_of_interest', u'establishment']"
0,43.37884,5.218997,Lyon Loisirs,ChIJbcYJLeTnyRIRhshHKCfS3B4,"[u'point_of_interest', u'establishment']"
0,43.379577,5.1997733,EPUR,ChIJQeB5RZHnyRIRQpIB_2dfEew,"[u'point_of_interest', u'establishment']"
0,43.382649,5.199483,l'ouragan,ChIJqXXZYZbnyRIRfd8grqvSRm8,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.3801834,5.2017546,L Extase Club,ChIJ8zT7CZTnyRIRSEO4ojOvzzE,"[u'spa', u'health', u'point_of_interest', u'establishment']"
0,43.378625,5.220726,Poolstar,ChIJOYUNEOTnyRIRy1eYPdlugco,"[u'store', u'point_of_interest', u'establishment']"
0,43.3828394,5.1992021,New Deco Cart,ChIJL0sldMfnyRIRhGlLP2-zmKs,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.355331,5.203593,Ensuès-la-Redonne,ChIJL2b3gmXdyRIRPTzxtaP7BfE,"[u'locality', u'political']"
0,43.3951483,5.1943553,KDI,ChIJWwVXirPnyRIRuZqjAoJMHO8,"[u'point_of_interest', u'establishment']"
0,43.3943135,5.1980959,Espace 96,ChIJUbJ726XnyRIRIK_c0pESo1c,"[u'point_of_interest', u'establishment']"
0,43.3941209,5.1966996,Alu Vigouroux,ChIJq5pQBDvmyRIRlgrWsoqmkRU,"[u'store', u'point_of_interest', u'establishment']"
0,43.3967678,5.1987853,Alliance Piscines,ChIJq5pQBDvmyRIRsYoRpH4eGR4,"[u'point_of_interest', u'establishment']"
0,43.392201,5.199537,Saloon Horse City,ChIJ7T1Ey7vnyRIRNogOyKbiwGo,"[u'food', u'point_of_interest', u'establishment']"
0,43.3928303,5.1992159,Transports Rodriguez,ChIJXdYRSLrnyRIRcoyPb0qjWV8,"[u'point_of_interest', u'establishment']"
0,43.394321,5.201039,CEDEO,ChIJcWh7_LnnyRIRwMUxCmW37_4,"[u'store', u'point_of_interest', u'establishment']"
0,43.394029,5.197636,CAM distribution Franck Marché GROUPE CIN ARTILIN SOTINCO,ChIJG1ctj7rnyRIRbumyjcbs6Qk,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.396836,5.198773,Gardiennage Europa Caravaning Serv,ChIJxejvA7HnyRIRVvYjiFxNw2s,"[u'storage', u'point_of_interest', u'establishment']"
